case_id,task,parameter,variant,dtype_comparison,n_seed_fp32,n_seed_fp64,fp32_median_best_l2,fp64_median_best_l2,ratio,bad_rate_fp32,bad_rate_fp64,label,status,comment,source_paths,case_key
heat_alpha01,heat1d,alpha=0.1,heat1d,FP32 vs FP64,3.0,3.0,0.0003752529737539,0.0003106738239774,0.8279050286251627,0.0,0.0,проверка,основной отчёт,На простой heat-задаче обе точности работают хорошо. Это простая проверка всей схемы обучения.,experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_0; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_1; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp32_2; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_0; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_1; experiments_raw/results_exp_1_heat1d_precision/runs/heat1d_fp64_2,
helmholtz_m12_long,helmholtz1d,m=12,helmholtz_resample_long,FP32 vs FP64,2.0,2.0,0.012530514737591,0.0021135880520116,0.1686752776141678,0.0,0.0,главный положительный пример,основной Helmholtz,"В этом запуске есть по два валидных seed, и медиана FP64 заметно ниже медианы FP32.",experiments_raw/final/final 2/runs/run019_helmholtz1d_helmholtz_resample_long_m12_fp32_s0; experiments_raw/final/final 2/runs/run020_helmholtz1d_helmholtz_resample_long_m12_fp32_s1; experiments_raw/final/final 2/runs/run021_helmholtz1d_helmholtz_resample_long_m12_fp64_s0; experiments_raw/final/final 2/runs/run022_helmholtz1d_helmholtz_resample_long_m12_fp64_s1,helmholtz1d|helmholtz_resample_long|m|12.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|1.0|1.0|200.0
helmholtz_m12_rs,helmholtz1d,m=12,helmholtz_rs_m12,FP32 vs FP64,2.0,2.0,0.0021599326282738,0.000833988761593,0.386117951400863,0.0,0.0,дополнительный чистый пример,основной Helmholtz,Ещё один устойчивый m=12 с ресемплированием. FP64 снова даёт меньшую медианную ошибку.,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m12_fp64_1,helmholtz1d|helmholtz_rs_m12|m|12.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|0.1|nan|200.0
helmholtz_m12_resample128,helmholtz1d,m=12,resample_proven_128,FP32 vs FP64,2.0,2.0,0.009213414043188,0.0021135880520116,0.2294033506042512,0.0,0.0,дополнительный чистый пример,основной Helmholtz,Похожая настройка с более длинным L-BFGS. Вывод совпадает с основным m=12.,experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r017_m12_resample_proven_128_fp32_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r018_m12_resample_proven_128_fp32_s1; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r019_m12_resample_proven_128_fp64_s0; experiments_raw/results_exp_12_helmholts_more/results_exp_9_helmholtz1d_large_lbfgs/runs/exp9_r020_m12_resample_proven_128_fp64_s1,helmholtz1d|resample_proven_128|m|12.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|2000.0|1.0|1.0|200.0
helmholtz_m7_rs,helmholtz1d,m=7,helmholtz_rs_m7,FP32 vs FP64,2.0,2.0,0.0013482172507792,0.0005143762736539,0.3815232844384671,0.0,0.0,положительный пример,дополнительный Helmholtz,На меньшем m результат тоже чистый: оба dtype имеют по два валидных seed.,experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m7_fp64_1,helmholtz1d|helmholtz_rs_m7|m|7.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|0.1|nan|200.0
helmholtz_m11_rs,helmholtz1d,m=11,helmholtz_rs_m11,FP32 vs FP64,2.0,2.0,0.0019056165474466,0.0009833265862458,0.5160149283775988,0.0,0.0,умеренно положительный пример,дополнительный Helmholtz,"FP64 лучше по медиане, но отрыв меньше, чем на m=12.",experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp32_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp32_1; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp64_0; experiments_raw/results_exp_6_helmholtz1d_resampling_final/runs/helmholtz_rs_m11_fp64_1,helmholtz1d|helmholtz_rs_m11|m|11.0|128.0|4.0|5000.0|0.0|2.0|10000.0|0.0005|1000.0|0.1|nan|200.0
convection_beta30,convection1d,beta=30,convection_beta30_lbfgs_grid,FP32 vs FP64,2.0,2.0,0.0109412386082112,0.0066253707376576,0.605541198295904,0.0,0.0,аккуратный пример convection,основной отчёт,"Есть по два seed у FP32 и FP64. FP64 лучше умеренно, без истории про полный провал FP32.",experiments_raw/final/final 2/runs/run025_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s0; experiments_raw/final/final 2/runs/run026_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp32_s1; experiments_raw/final/final 2/runs/run027_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s0; experiments_raw/final/final 2/runs/run028_convection1d_convection_beta30_lbfgs_grid_beta30p0_fp64_s1,convection1d|convection_beta30_lbfgs_grid|beta|30.0|256.0|3.0|4225.0|65.0|65.0|0.0|0.0001|4000.0|1.0|10.0|0.0
burgers_nu0p002,burgers1d,nu=0.002,burgers_more_points,FP32 vs FP64,2.0,2.0,0.0487787164747714,0.0465236125110578,0.9537686899801896,0.0,0.0,результаты близкие,основной отчёт,Burgers nu=0.002 показывает близкие результаты FP32 и FP64.,experiments_raw/final/final 2/runs/run007_burgers1d_burgers_more_points_nu0p002_fp32_s0; experiments_raw/final/final 2/runs/run008_burgers1d_burgers_more_points_nu0p002_fp32_s1; experiments_raw/final/final 2/runs/run009_burgers1d_burgers_more_points_nu0p002_fp64_s0; experiments_raw/final/final 2/runs/run010_burgers1d_burgers_more_points_nu0p002_fp64_s1,burgers1d|burgers_more_points|nu|0.002|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0
burgers_nu0p001,burgers1d,nu=0.001,burgers_more_points,FP32 vs FP64,2.0,2.0,0.0948454085737466,0.1699690994922754,1.7920646033183212,0.0,0.0,смешанный результат,основной отчёт,На этом Burgers-запуске FP64 не даёт устойчивого преимущества. Это полезный отрицательный пример.,experiments_raw/final/final 2/runs/run001_burgers1d_burgers_more_points_nu0p001_fp32_s0; experiments_raw/final/final 2/runs/run002_burgers1d_burgers_more_points_nu0p001_fp32_s1; experiments_raw/final/final 2/runs/run003_burgers1d_burgers_more_points_nu0p001_fp64_s0; experiments_raw/final/final 2/runs/run004_burgers1d_burgers_more_points_nu0p001_fp64_s1,burgers1d|burgers_more_points|nu|0.001|256.0|4.0|10000.0|800.0|800.0|3000.0|5e-05|2000.0|0.5|5.0|200.0
fp16_summary,fp16,все fp16-запуски,отдельно,FP16,,,,,,,,FP16 нестабилен,отдельный блок,FP16 вынесен отдельно: 22/22 запусков плохие или невалидные.,,
